t, xpos, ypos
0.724000,1.697242,-0.494975
0.725000,1.699166,-0.494790
0.726000,1.701087,-0.494589
0.727000,1.703002,-0.494371
0.728000,1.704914,-0.494138
0.729000,1.706821,-0.493889
0.730000,1.708724,-0.493624
0.731000,1.710623,-0.493342
0.732000,1.712518,-0.493045
0.733000,1.714408,-0.492732
0.734000,1.716293,-0.492403
0.735000,1.718175,-0.492058
0.736000,1.720052,-0.491697
0.737000,1.721924,-0.491320
0.738000,1.723792,-0.490927
0.739000,1.725656,-0.490518
0.740000,1.727515,-0.490093
0.741000,1.729370,-0.489653
0.742000,1.731220,-0.489197
0.743000,1.733065,-0.488724
0.744000,1.734906,-0.488236
0.745000,1.736743,-0.487733
0.746000,1.738575,-0.487213
0.747000,1.740402,-0.486678
0.748000,1.742225,-0.486127
0.749000,1.744043,-0.485560
0.750000,1.745856,-0.484977
0.751000,1.747665,-0.484379
0.752000,1.749469,-0.483765
0.753000,1.751268,-0.483136
0.754000,1.753063,-0.482491
0.755000,1.754852,-0.481830
0.756000,1.756637,-0.481154
0.757000,1.758418,-0.480462
0.758000,1.760193,-0.479755
0.759000,1.761964,-0.479032
0.760000,1.763729,-0.478294
0.761000,1.765490,-0.477540
0.762000,1.767246,-0.476771
0.763000,1.768997,-0.475987
0.764000,1.770743,-0.475187
0.765000,1.772484,-0.474372
0.766000,1.774221,-0.473541
0.767000,1.775952,-0.472695
0.768000,1.777678,-0.471834
0.769000,1.779399,-0.470958
0.770000,1.781116,-0.470066
0.771000,1.782827,-0.469160
0.772000,1.784533,-0.468238
0.773000,1.786234,-0.467301
0.774000,1.787929,-0.466349
0.775000,1.789620,-0.465383
0.776000,1.791306,-0.464401
0.777000,1.792986,-0.463404
0.778000,1.794661,-0.462392
0.779000,1.796331,-0.461365
0.780000,1.797996,-0.460324
0.781000,1.799655,-0.459268
0.782000,1.801309,-0.458197
0.783000,1.802958,-0.457111
0.784000,1.804602,-0.456010
0.785000,1.806240,-0.454895
0.786000,1.807873,-0.453765
0.787000,1.809501,-0.452621
0.788000,1.811123,-0.451462
0.789000,1.812740,-0.450289
0.790000,1.814351,-0.449101
0.791000,1.815957,-0.447899
0.792000,1.817557,-0.446682
0.793000,1.819152,-0.445451
0.794000,1.820741,-0.444206
0.795000,1.822325,-0.442946
0.796000,1.823903,-0.441673
0.797000,1.825476,-0.440385
0.798000,1.827043,-0.439083
0.799000,1.828605,-0.437767
0.800000,1.830161,-0.436437
0.801000,1.831711,-0.435094
0.802000,1.833256,-0.433736
0.803000,1.834795,-0.432364
0.804000,1.836328,-0.430979
0.805000,1.837855,-0.429580
0.806000,1.839377,-0.428167
0.807000,1.840893,-0.426740
0.808000,1.842403,-0.425300
0.809000,1.843908,-0.423847
0.810000,1.845406,-0.422380
0.811000,1.846899,-0.420899
0.812000,1.848386,-0.419406
0.813000,1.849867,-0.417898
0.814000,1.851342,-0.416378
0.815000,1.852811,-0.414844
0.816000,1.854274,-0.413298
0.817000,1.855731,-0.411738
0.818000,1.857182,-0.410165
0.819000,1.858628,-0.408579
0.820000,1.860067,-0.406980
0.821000,1.861500,-0.405369
0.822000,1.862927,-0.403744
0.823000,1.864348,-0.402107
0.824000,1.865763,-0.400458
0.825000,1.867172,-0.398795
0.826000,1.868574,-0.397121
0.827000,1.869971,-0.395433
0.828000,1.871361,-0.393734
0.829000,1.872745,-0.392022
0.830000,1.874123,-0.390297
0.831000,1.875494,-0.388561
0.832000,1.876859,-0.386812
0.833000,1.878218,-0.385052
0.834000,1.879571,-0.383279
0.835000,1.880917,-0.381494
0.836000,1.882257,-0.379698
0.837000,1.883591,-0.377890
0.838000,1.884918,-0.376070
0.839000,1.886239,-0.374238
